key,cbs_Key,firstName,lastName,profileUrl,defaultAssetUrl,primaryPosition,compositeRating,compositeStarRating,compositeNationalRank,compositePositionRank,compositeStateRank,homeTown.city,homeTown.state,committedInstitution.institutionKey,committedInstitution.teamKey,committedInstitution.cbsKey,committedInstitution.name,committedInstitution.abbreviation,committedInstitution.fullName,signedInstitution.institutionKey,signedInstitution.teamKey,signedInstitution.cbsKey,signedInstitution.name,signedInstitution.abbreviation,signedInstitution.fullName,currentInstitution.institutionKey,currentInstitution.teamKey,currentInstitution.cbsKey,currentInstitution.name,currentInstitution.abbreviation,currentInstitution.fullName,committedInstitution,signedInstitution,homeTown
46153358,50025674,Declan,Duru Jr.,/player/Declan-Duru Jr.-46153358,/Uploads/Assets/785/340/13340785.jpg,PF,95.12876254180603,4.0,117.0,25.0,6.0,Munich,BV,24028.0,44.0,21210.0,Texas,TEX,Texas Longhorns,24028.0,44.0,21210.0,Texas,TEX,Texas Longhorns,24028,44.0,21210.0,Texas,TEX,Texas Longhorns,0.0,0.0,0.0
46165968,50027009,Noah,Norgaard,/player/Noah-Norgaard-46165968,/Uploads/Assets/956/683/13683956.jpeg,CG,0.0,0.0,0.0,0.0,0.0,Denmark,DENM,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,24352,607.0,21372.0,UNC Greensboro,UNC Greensboro,UNC Greensboro Spartans,0.0,0.0,0.0
46166184,28952654,Joao,Das Chagas,/player/Joao-Das Chagas-46166184,/Uploads/Assets/868/706/13706868.jpeg,C,0.0,0.0,0.0,0.0,0.0,Brazil,BRAZ,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,24059,102.0,21234.0,UAB,UAB,UAB Blazers,0.0,0.0,0.0
46134967,28906142,Chris,Nwuli,/player/Chris-Nwuli-46134967,/Uploads/Assets/239/344/13344239.jpg,PF,86.0,3.0,399.0,83.0,8.0,Dallas,TX,24035.0,58.0,21167.0,Rutgers,RUTG,Rutgers Scarlet Knights,24035.0,58.0,21167.0,Rutgers,RUTG,Rutgers Scarlet Knights,24035,58.0,21167.0,Rutgers,RUTG,Rutgers Scarlet Knights,0.0,0.0,0.0
46160924,50025507,Dorin,Buca,/player/Dorin-Buca-46160924,/Uploads/Assets/962/345/13345962.jpg,C,88.0,3.0,241.0,37.0,6.0,Italy,ITAL,24023.0,34.0,21205.0,Kansas State,KSST,Kansas State Wildcats,0.0,0.0,0.0,0,0,0,24023,34.0,21205.0,Kansas State,KSST,Kansas State Wildcats,0.0,0.0,0.0
46157861,29708959,Timo,Malovec,/player/Timo-Malovec-46157861,/Uploads/Assets/131/344/13344131.png,SF,86.0,3.0,399.0,62.0,12.0,Slovakia,SLOV,24013.0,14.0,21163.0,Miami,MIA,Miami Hurricanes,24013.0,14.0,21163.0,Miami,MIA,Miami Hurricanes,24013,14.0,21163.0,Miami,MIA,Miami Hurricanes,0.0,0.0,0.0
46166531,50026700,David,Gomez,/player/David-Gomez-46166531,/Uploads/Assets/171/780/13780171.jpeg,PF,86.0,3.0,399.0,83.0,22.0,Spain,SPAI,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,24318,386.0,21241.0,Charlotte,CHAR,Charlotte 49ers,0.0,0.0,0.0
46158579,29723568,Antonio,Dorn,/player/Antonio-Dorn-46158579,/Uploads/Assets/630/356/13356630.jpg,C,87.0,3.0,303.0,46.0,12.0,Germany,GERM,24017.0,22.0,21148.0,Virginia Tech,VTECH,Virginia Tech Hokies,24017.0,22.0,21148.0,Virginia Tech,VTECH,Virginia Tech Hokies,24017,22.0,21148.0,Virginia Tech,VTECH,Virginia Tech Hokies,0.0,0.0,0.0
46142522,50014795,Vincent,Chaudhri,/player/Vincent-Chaudhri-46142522,/Uploads/Assets/732/769/13769732.jpeg,SF,85.0,3.0,454.0,75.0,8.0,Northfield,MA,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,24319,390.0,21141.0,George Washington,GW,George Washington Colonials,0.0,0.0,0.0
46166130,50025246,Xander,Pintelon,/player/Xander-Pintelon-46166130,/Uploads/Assets/777/697/13697777.jpg,C,86.0,3.0,399.0,58.0,12.0,Belgium,BELG,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,24110,444.0,21407.0,Florida Atlantic,FAU,Florida Atlantic Owls,0.0,0.0,0.0
