,C,Combo G,PF/C,Pure PG,Scoring PG,Stretch 4,Wing F,Wing G
C,1006,0,49,0,0,0,29,1
Combo G,0,564,2,0,170,0,4,357
PF/C,334,37,277,0,11,4,138,174
Pure PG,5,96,0,4,101,0,4,31
Scoring PG,1,253,4,1,310,0,6,142
Stretch 4,133,6,57,0,1,11,105,110
Wing F,114,2,88,0,2,1,258,223
Wing G,5,255,39,0,49,2,85,1161
