split,rows,log_loss,top1_accuracy,top3_accuracy,macro_f1,weighted_f1,balanced_accuracy
train,6822,1.1740672175466322,0.5263852242744064,0.9034007622398124,0.3939241010871131,0.4856714117772318,0.4128529798621044
valid,1117,1.225210949069126,0.5174574753804835,0.88272157564906,0.3655344205851624,0.46490753635050763,0.3999386336531749
test,1051,1.3136949803894042,0.46336822074215034,0.8801141769743102,0.3319853872024112,0.41247066075289046,0.3603964025075137
