pred_class,row_count,pct
Wing G,2199,0.322339489885664
C,1598,0.23424215772500734
Combo G,1213,0.17780709469363823
Scoring PG,644,0.09440046907065376
Wing F,629,0.09220170038111991
PF/C,516,0.07563764291996482
Stretch 4,18,0.002638522427440633
Pure PG,5,0.000732922896511287
