number,value,params_bagging_temperature,params_depth,params_iterations,params_l2_leaf_reg,params_learning_rate,state,user_attrs_best_iteration,user_attrs_class_order
28,1.3386300942611387,0.9976557446601421,6,670,1.254037140533315,0.024441758397579942,COMPLETE,658,"['C', 'Combo G', 'PF/C', 'Pure PG', 'Scoring PG', 'Stretch 4', 'Wing F', 'Wing G']"
29,1.3389740377400436,0.7871402662838239,5,1144,1.1160109353700933,0.020489725740491616,COMPLETE,1078,"['C', 'Combo G', 'PF/C', 'Pure PG', 'Scoring PG', 'Stretch 4', 'Wing F', 'Wing G']"
30,1.3501830095138063,0.7111148201193245,7,1415,1.9557834223533823,0.01308379567492326,COMPLETE,1362,"['C', 'Combo G', 'PF/C', 'Pure PG', 'Scoring PG', 'Stretch 4', 'Wing F', 'Wing G']"
31,1.3406854535523889,0.9200353812268285,5,1199,1.315535616378885,0.03656973626386759,COMPLETE,600,"['C', 'Combo G', 'PF/C', 'Pure PG', 'Scoring PG', 'Stretch 4', 'Wing F', 'Wing G']"
32,1.3385215982165206,0.9248107189487537,5,1011,1.4038420883427554,0.02911170590439879,COMPLETE,698,"['C', 'Combo G', 'PF/C', 'Pure PG', 'Scoring PG', 'Stretch 4', 'Wing F', 'Wing G']"
33,1.3420081819210377,0.8215476810208917,6,1216,1.1701045998321329,0.04362337137075761,COMPLETE,346,"['C', 'Combo G', 'PF/C', 'Pure PG', 'Scoring PG', 'Stretch 4', 'Wing F', 'Wing G']"
34,1.3380628451672048,0.9351646884726634,4,830,1.0397653796702784,0.02328768025628657,COMPLETE,822,"['C', 'Combo G', 'PF/C', 'Pure PG', 'Scoring PG', 'Stretch 4', 'Wing F', 'Wing G']"
35,1.3406094136658602,0.8789102815024697,5,1072,1.6140185084895267,0.030908112998451486,COMPLETE,726,"['C', 'Combo G', 'PF/C', 'Pure PG', 'Scoring PG', 'Stretch 4', 'Wing F', 'Wing G']"
36,1.3415404958386794,0.6716170839591735,5,748,2.7651959467464144,0.05296953317311702,COMPLETE,512,"['C', 'Combo G', 'PF/C', 'Pure PG', 'Scoring PG', 'Stretch 4', 'Wing F', 'Wing G']"
37,1.3414903740890056,0.5183659924012646,6,1305,1.461817286569343,0.026055038593199513,COMPLETE,663,"['C', 'Combo G', 'PF/C', 'Pure PG', 'Scoring PG', 'Stretch 4', 'Wing F', 'Wing G']"
38,1.339965747158251,0.7963928459539631,4,923,1.2104369976970517,0.020787112501854423,COMPLETE,918,"['C', 'Combo G', 'PF/C', 'Pure PG', 'Scoring PG', 'Stretch 4', 'Wing F', 'Wing G']"
39,1.3569532851825534,0.5995045549954058,7,1567,1.0092616825804566,0.04076281401344291,COMPLETE,353,"['C', 'Combo G', 'PF/C', 'Pure PG', 'Scoring PG', 'Stretch 4', 'Wing F', 'Wing G']"
40,1.3469494306356304,0.9481830925694703,5,1132,1.9369543528461355,0.13785748828164174,COMPLETE,193,"['C', 'Combo G', 'PF/C', 'Pure PG', 'Scoring PG', 'Stretch 4', 'Wing F', 'Wing G']"
41,1.3421842859233621,0.8765419546018818,4,2047,8.354498002825473,0.03503213863565858,COMPLETE,1601,"['C', 'Combo G', 'PF/C', 'Pure PG', 'Scoring PG', 'Stretch 4', 'Wing F', 'Wing G']"
42,1.3412325095788686,0.892636627314067,4,2297,5.035121312055569,0.03185829192359043,COMPLETE,1095,"['C', 'Combo G', 'PF/C', 'Pure PG', 'Scoring PG', 'Stretch 4', 'Wing F', 'Wing G']"
43,1.3391672511982333,0.9484603933599913,4,1849,4.318953596809645,0.04763551668503193,COMPLETE,986,"['C', 'Combo G', 'PF/C', 'Pure PG', 'Scoring PG', 'Stretch 4', 'Wing F', 'Wing G']"
44,1.3432433863322764,0.9679403019978079,4,1622,11.211842296272485,0.06003529550661125,COMPLETE,998,"['C', 'Combo G', 'PF/C', 'Pure PG', 'Scoring PG', 'Stretch 4', 'Wing F', 'Wing G']"
45,1.3421284840553984,0.8357092641740062,5,1400,3.729150308680037,0.02766043325987062,COMPLETE,1125,"['C', 'Combo G', 'PF/C', 'Pure PG', 'Scoring PG', 'Stretch 4', 'Wing F', 'Wing G']"
46,1.336818819048885,0.9020903145797775,4,1674,1.3701343312985987,0.03545728720264692,COMPLETE,672,"['C', 'Combo G', 'PF/C', 'Pure PG', 'Scoring PG', 'Stretch 4', 'Wing F', 'Wing G']"
47,1.3388776827705664,0.7177220740988866,5,1668,1.375458867143194,0.017914506068429335,COMPLETE,1106,"['C', 'Combo G', 'PF/C', 'Pure PG', 'Scoring PG', 'Stretch 4', 'Wing F', 'Wing G']"
48,1.3367850956176852,0.9956335256275443,4,1490,1.7239250429392226,0.03696737741129939,COMPLETE,913,"['C', 'Combo G', 'PF/C', 'Pure PG', 'Scoring PG', 'Stretch 4', 'Wing F', 'Wing G']"
49,1.3402475690571065,0.9843281874326313,6,1489,1.8414255943922249,0.02256654341217456,COMPLETE,691,"['C', 'Combo G', 'PF/C', 'Pure PG', 'Scoring PG', 'Stretch 4', 'Wing F', 'Wing G']"
