season,year,rank,name,team,basic_obpr,basic_dbpr,basic_bpr,basic_poss,basic_box_obpr,basic_box_dbpr,basic_box_bpr,basic_adj_team_off_eff,basic_adj_team_def_eff,basic_adj_team_eff_margin,basic_plus_minus,basic_players,basic_color_o,basic_color_d,basic_color_diff,player_name_join,advanced_obpr,advanced_dbpr,advanced_bpr,advanced_poss,advanced_box_obpr,advanced_box_dbpr,advanced_box_bpr,advanced_adj_team_off_eff,advanced_adj_team_def_eff,advanced_adj_team_eff_margin,advanced_plus_minus,advanced_position,advanced_role,advanced_class,advanced_players,advanced_color_o,advanced_color_d,advanced_color_diff
2018-19,2019,1,Zion Williamson,Duke,8.04036,4.78957,12.82993,1822,8.54656019184451,4.27120639018739,12.8177665820319,122.859194490732,80.5833798847922,42.2758146059393,473,935107,#FFA330,#FFBB66,#FF9D23,zion williamson,8.04036,4.78957,12.82993,1822,8.54656019184451,4.27120639018739,12.8177665820319,122.859194490732,80.5833798847922,42.2758146059393,473,3.97987294745867,1.0,,935107,#FFA330,#FFBB66,#FF9D23
2018-19,2019,2,Brandon Clarke,Gonzaga,6.04662,4.61512,10.66174,1840,6.30731283336683,3.7416316475676,10.0489444809344,126.709347228299,83.1409953720713,43.5683518562276,632,939349,#FFBA63,#FFBD6B,#FFAE48,brandon clarke,6.04662,4.61512,10.66174,1840,6.30731283336683,3.7416316475676,10.0489444809344,126.709347228299,83.1409953720713,43.5683518562276,632,5.0,1.94191278711806,,939349,#FFBA63,#FFBD6B,#FFAE48
2018-19,2019,3,Cassius Winston,Michigan State,8.54955,2.01097,10.56052,2228,8.09630173814549,1.26173844129393,9.35804017943943,121.48747889844,86.200399104987,35.2870797934531,425,948017,#FF9D23,#FFE2BE,#FFAF4A,cassius winston,8.54955,2.01097,10.56052,2228,8.09630173814549,1.26173844129393,9.35804017943943,121.48747889844,86.200399104987,35.2870797934531,425,1.0,1.0,,948017,#FF9D23,#FFE2BE,#FFAF4A
2018-19,2019,4,Ty Jerome,Virginia,6.73745,3.16196,9.89941,1904,6.50990499889106,2.01027081981443,8.52017581870549,124.218406087108,82.9148490251793,41.3035570619289,497,950436,#FFB251,#FFD29A,#FFB455,ty jerome,6.73745,3.16196,9.89941,1904,6.50990499889106,2.01027081981443,8.52017581870549,124.218406087108,82.9148490251793,41.3035570619289,497,1.06093319933756,1.32638671812421,,950436,#FFB251,#FFD29A,#FFB455
2018-19,2019,5,De'Andre Hunter,Virginia,6.58779,3.02502,9.61281,1861,5.63422097738017,1.35846897496342,6.99268995234359,126.143495395248,81.0303244468927,45.1131709483548,563,950437,#FFB455,#FFD49E,#FFB65A,deandre hunter,6.58779,3.02502,9.61281,1861,5.63422097738017,1.35846897496342,6.99268995234359,126.143495395248,81.0303244468927,45.1131709483548,563,3.22227765375557,2.26553592225421,,950437,#FFB455,#FFD49E,#FFB65A
2018-19,2019,6,Grant Williams,Tennessee,6.27086,3.18939,9.46025,1982,6.92639807806368,3.12358497823758,10.0499830563013,122.742861927718,90.9610614336895,31.7818004940284,370,950878,#FFB75D,#FFD299,#FFB75D,grant williams,6.27086,3.18939,9.46025,1982,6.92639807806368,3.12358497823758,10.0499830563013,122.742861927718,90.9610614336895,31.7818004940284,370,3.81848544974218,1.40125877863257,,950878,#FFB75D,#FFD299,#FFB75D
2018-19,2019,7,Cameron Johnson,North Carolina,6.97193,2.31236,9.28429,2012,7.45071440765984,1.49643605228857,8.94715045994842,122.340234867378,84.7592683349167,37.5809665324613,428,974155,#FFAF4B,#FFDEB5,#FFB860,cameron johnson,6.97193,2.31236,9.28429,2012,7.45071440765984,1.49643605228857,8.94715045994842,122.340234867378,84.7592683349167,37.5809665324613,428,2.71919190195819,1.92575665563099,,974155,#FFAF4B,#FFDEB5,#FFB860
2018-19,2019,8,Ja Morant,Murray State,7.07543,2.19358,9.26901,2058,7.18612631791457,1.85101443486805,9.03714075278262,114.041643142155,91.8206897836683,22.2209533584871,409,948930,#FFAE49,#FFE0B9,#FFB860,ja morant,7.07543,2.19358,9.26901,2058,7.18612631791457,1.85101443486805,9.03714075278262,114.041643142155,91.8206897836683,22.2209533584871,409,1.10545787721508,1.0,,948930,#FFAE49,#FFE0B9,#FFB860
2018-19,2019,9,Ethan Happ,Wisconsin,4.07947,5.07702,9.15649,1772,3.42771666143867,4.08367872316704,7.51139538460571,111.470092943767,84.4902422035699,26.9798507401968,172,950142,#FFD096,#FFB75D,#FFB962,ethan happ,4.07947,5.07702,9.15649,1772,3.42771666143867,4.08367872316704,7.51139538460571,111.470092943767,84.4902422035699,26.9798507401968,172,3.96939373225652,1.0,,950142,#FFD096,#FFB75D,#FFB962
2018-19,2019,10,Matt Rafferty,Furman,5.41185,3.63955,9.0514,1745,6.06994576873787,3.6288281080711,9.69877387680897,111.11812117351,91.2746869574294,19.843434216081,267,938406,#FFC174,#FFCB8A,#FFBA64,matt rafferty,5.41185,3.63955,9.0514,1745,6.06994576873787,3.6288281080711,9.69877387680897,111.11812117351,91.2746869574294,19.843434216081,267,3.64689466932894,1.0,,938406,#FFC174,#FFCB8A,#FFBA64
2018-19,2019,11,RJ Barrett,Duke,5.5938,3.32049,8.91429,2478,5.24282213703863,2.11971295685506,7.36253509389369,120.202780566025,81.1947205975823,39.0080599684429,549,935106,#FFBF6F,#FFD095,#FFBB66,rj barrett,5.5938,3.32049,8.91429,2478,5.24282213703863,2.11971295685506,7.36253509389369,120.202780566025,81.1947205975823,39.0080599684429,549,2.75423571816255,1.58794456326029,,935106,#FFBF6F,#FFD095,#FFBB66
2018-19,2019,12,Xavier Tillman,Michigan State,4.46114,4.44133,8.90247,1568,4.64790625409042,3.92895900397283,8.57686525806325,121.927597529848,84.0467256438028,37.880871886045,320,948027,#FFCC8C,#FFC071,#FFBB66,xavier tillman,4.46114,4.44133,8.90247,1568,4.64790625409042,3.92895900397283,8.57686525806325,121.927597529848,84.0467256438028,37.880871886045,320,4.5762912705117,2.53377093018837,,948027,#FFCC8C,#FFC071,#FFBB66
2018-19,2019,13,Dean Wade,Kansas State,5.37426,3.41676,8.79102,1229,4.70730851462624,0.985595876375953,5.69290439100219,112.240291744209,78.8346470424352,33.4056447017737,268,943383,#FFC174,#FFCE92,#FFBC68,dean wade,5.37426,3.41676,8.79102,1229,4.70730851462624,0.985595876375953,5.69290439100219,112.240291744209,78.8346470424352,33.4056447017737,268,3.64111862536742,1.58490867158251,,943383,#FFC174,#FFCE92,#FFBC68
2018-19,2019,14,Zach Norvell Jr.,Gonzaga,6.58764,2.10679,8.69443,2015,5.21603435041779,0.916611486849253,6.13264583726705,129.761262557964,84.267686303665,45.4935762542989,740,939385,#FFB455,#FFE1BB,#FFBD6A,zach norvell jr,6.58764,2.10679,8.69443,2015,5.21603435041779,0.916611486849253,6.13264583726705,129.761262557964,84.267686303665,45.4935762542989,740,2.11524411302206,2.94816220737579,,939385,#FFB455,#FFE1BB,#FFBD6A
2018-19,2019,15,Cameron Jackson,Wofford,4.53513,3.98586,8.52099,1335,5.15328961349169,2.93950524187142,8.09279485536311,121.410728772207,89.1681344391833,32.2425943330233,358,949484,#FFCB8A,#FFC67F,#FFBE6D,cameron jackson,4.53513,3.98586,8.52099,1335,5.15328961349169,2.93950524187142,8.09279485536311,121.410728772207,89.1681344391833,32.2425943330233,358,4.44615695156153,1.28913249563614,,949484,#FFCB8A,#FFC67F,#FFBE6D
2018-19,2019,16,Matisse Thybulle,Washington,1.62489,6.88372,8.50861,1896,1.37342621465611,7.03617145301841,8.40959766767452,105.439996968483,84.3493590204558,21.0906379480271,170,950369,#FFECD5,#FF9D23,#FFBE6D,matisse thybulle,1.62489,6.88372,8.50861,1896,1.37342621465611,7.03617145301841,8.40959766767452,105.439996968483,84.3493590204558,21.0906379480271,170,2.17240922466034,3.10734514785784,,950369,#FFECD5,#FF9D23,#FFBE6D
2018-19,2019,17,Dedric Lawson,Kansas,4.75144,3.74626,8.4977,2078,4.63627010562507,3.15152415559707,7.78779426122214,113.181344714372,87.5539558655138,25.6273888488581,177,943291,#FFC984,#FFCA87,#FFBE6D,dedric lawson,4.75144,3.74626,8.4977,2078,4.63627010562507,3.15152415559707,7.78779426122214,113.181344714372,87.5539558655138,25.6273888488581,177,4.73769458578122,2.00165568211476,,943291,#FFC984,#FFCA87,#FFBE6D
