season,year,rank,name,team,basic_obpr,basic_dbpr,basic_bpr,basic_poss,basic_box_obpr,basic_box_dbpr,basic_box_bpr,basic_adj_team_off_eff,basic_adj_team_def_eff,basic_adj_team_eff_margin,basic_plus_minus,basic_players,basic_color_o,basic_color_d,basic_color_diff,player_name_join,advanced_obpr,advanced_dbpr,advanced_bpr,advanced_poss,advanced_box_obpr,advanced_box_dbpr,advanced_box_bpr,advanced_adj_team_off_eff,advanced_adj_team_def_eff,advanced_adj_team_eff_margin,advanced_plus_minus,advanced_position,advanced_role,advanced_class,advanced_players,advanced_color_o,advanced_color_d,advanced_color_diff
2017-18,2018,1,Gary Clark,Cincinnati,5.87685,4.68797,10.56482,1674,6.30213555425834,3.07891026520686,9.38104581946521,117.431382408196,80.8059547061376,36.6254277020584,498,1146436,#FFBA63,#FFA433,#FF9D23,gary clark,5.87685,4.68797,10.56482,1674,6.30213555425834,3.07891026520686,9.38104581946521,117.431382408196,80.8059547061376,36.6254277020584,498,4.28230052064863,2.14966303173127,,1146436,#FFBA63,#FFA433,#FF9D23
2017-18,2018,2,Mikal Bridges,Villanova,6.71721,3.63931,10.35652,2209,6.26771731853537,2.9413575144928,9.20907483302817,132.198787722877,88.3634328659134,43.8353548569636,649,950522,#FFB04C,#FFB960,#FF9F27,mikal bridges,6.71721,3.63931,10.35652,2209,6.26771731853537,2.9413575144928,9.20907483302817,132.198787722877,88.3634328659134,43.8353548569636,649,3.20293770753812,2.59907791579849,,950522,#FFB04C,#FFB960,#FF9F27
2017-18,2018,3,Jevon Carter,West Virginia,6.22307,4.03851,10.26158,2402,6.59626884071401,3.48949411924916,10.0857629599632,117.134145066863,88.5415943363039,28.592550730559,376,1177838,#FFB659,#FFB14F,#FFA029,jevon carter,6.22307,4.03851,10.26158,2402,6.59626884071401,3.48949411924916,10.0857629599632,117.134145066863,88.5415943363039,28.592550730559,376,1.15879629082723,1,,1177838,#FFB659,#FFB14F,#FFA029
2017-18,2018,4,Jalen Brunson,Villanova,8.28037,1.51022,9.79059,2197,7.43880300940441,0.980815360646387,8.4196183700508,131.547471133789,89.7212185253651,41.8262526084243,637,950523,#FF9D23,#FFE1BD,#FFA533,jalen brunson,8.28037,1.51022,9.79059,2197,7.43880300940441,0.980815360646387,8.4196183700508,131.547471133789,89.7212185253651,41.8262526084243,637,1.46657878646366,1.19727043691764,,950523,#FF9D23,#FFE1BD,#FFA533
2017-18,2018,5,Cassius Winston,Michigan State,8.02027,1.61179,9.63206,1710,8.61591256703888,0.848862890292016,9.4647754573309,120.841600545294,88.731143442277,32.1104571030167,399,948017,#FFA02A,#FFE0B8,#FFA636,cassius winston,8.02027,1.61179,9.63206,1710,8.61591256703888,0.848862890292016,9.4647754573309,120.841600545294,88.731143442277,32.1104571030167,399,1.03175468311969,1,,948017,#FFA02A,#FFE0B8,#FFA636
2017-18,2018,6,"Wendell Carter, Jr.",Duke,4.99362,4.29666,9.29028,1773,5.21915901244989,3.48810373284891,8.7072627452988,125.46981006824,85.0796368006344,40.3901732676052,454,1140039,#FFC47A,#FFAC44,#FFA93D,wendell carter jr,4.99362,4.29666,9.29028,1773,5.21915901244989,3.48810373284891,8.7072627452988,125.46981006824,85.0796368006344,40.3901732676052,454,4.98169711609973,2.47584325256059,,1140039,#FFC47A,#FFAC44,#FFA93D
2017-18,2018,7,Devonte' Graham,Kansas,6.85003,2.23565,9.08568,2576,6.38832847074294,1.73790720705938,8.12623567780232,122.75529439862,90.8648477457921,31.8904466528277,411,1140478,#FFAE49,#FFD49D,#FFAB42,devonte graham,6.85003,2.23565,9.08568,2576,6.38832847074294,1.73790720705938,8.12623567780232,122.75529439862,90.8648477457921,31.8904466528277,411,1.23777789002628,1.24679940658655,,1140478,#FFAE49,#FFD49D,#FFAB42
2017-18,2018,8,Grayson Allen,Duke,6.65934,2.37451,9.03385,2342,5.78027121595209,1.51130958686998,7.29158080282207,126.009144702593,87.1396136210526,38.8695310815407,543,1140038,#FFB04E,#FFD197,#FFAC43,grayson allen,6.65934,2.37451,9.03385,2342,5.78027121595209,1.51130958686998,7.29158080282207,126.009144702593,87.1396136210526,38.8695310815407,543,1.22257756000015,2.33173725055384,,1140038,#FFB04E,#FFD197,#FFAC43
2017-18,2018,9,Ethan Happ,Wisconsin,4.21741,4.56892,8.78633,1634,3.80832637004756,3.90764332434229,7.71596969438986,109.990762494482,92.841648462459,17.1491140320233,55,950142,#FFCD8F,#FFA738,#FFAE48,ethan happ,4.21741,4.56892,8.78633,1634,3.80832637004756,3.90764332434229,7.71596969438986,109.990762494482,92.841648462459,17.1491140320233,55,3.77076132728657,1,,950142,#FFCD8F,#FFA738,#FFAE48
2017-18,2018,10,Jacob Evans,Cincinnati,4.71163,4.01635,8.72798,1812,4.61099354586174,2.37408789555979,6.98508144142153,115.957760720737,80.2470680466817,35.710692674055,510,933889,#FFC782,#FFB150,#FFAE49,jacob evans,4.71163,4.01635,8.72798,1812,4.61099354586174,2.37408789555979,6.98508144142153,115.957760720737,80.2470680466817,35.710692674055,510,2.48633697201581,2.39484653375384,,933889,#FFC782,#FFB150,#FFAE49
2017-18,2018,11,Shake Milton,SMU,6.53687,2.18395,8.72082,1294,5.88292548553722,1.25901019776737,7.1419356833046,117.116063935441,90.4292786379585,26.6867852974826,280,951254,#FFB251,#FFD5A0,#FFAE49,shake milton,6.53687,2.18395,8.72082,1294,5.88292548553722,1.25901019776737,7.1419356833046,117.116063935441,90.4292786379585,26.6867852974826,280,2.18177082924992,1,,951254,#FFB251,#FFD5A0,#FFAE49
2017-18,2018,12,Marvin Bagley III,Duke,6.12446,2.51039,8.63485,1994,5.92005563016131,1.80879840370742,7.72885403386874,125.848067796342,88.2296620764553,37.6184057198865,458,1140037,#FFB75C,#FFCE91,#FFAF4B,marvin bagley iii,6.12446,2.51039,8.63485,1994,5.92005563016131,1.80879840370742,7.72885403386874,125.848067796342,88.2296620764553,37.6184057198865,458,4.69711296921405,2.21627141946503,,1140037,#FFB75C,#FFCE91,#FFAF4B
2017-18,2018,13,Trae Young,Oklahoma,7.05251,1.41143,8.46394,2176,6.84536815922296,1.88278533873165,8.72815349795462,116.83224086825,96.3153438997789,20.5168969684712,123,953188,#FFAC43,#FFE3C1,#FFB14F,trae young,7.05251,1.41143,8.46394,2176,6.84536815922296,1.88278533873165,8.72815349795462,116.83224086825,96.3153438997789,20.5168969684712,123,1,1,,953188,#FFAC43,#FFE3C1,#FFB14F
2017-18,2018,14,Theo Pinson,North Carolina,5.18465,3.2336,8.41825,1964,5.54475726655871,2.78827599132195,8.33303325788066,122.274428963206,90.0639969198047,32.2104320434009,288,1140082,#FFC275,#FFC072,#FFB150,theo pinson,5.18465,3.2336,8.41825,1964,5.54475726655871,2.78827599132195,8.33303325788066,122.274428963206,90.0639969198047,32.2104320434009,288,2.51309887232038,2.0100481119873,,1140082,#FFC275,#FFC072,#FFB150
2017-18,2018,15,Chris Chiozza,Florida,5.21381,2.94891,8.16272,1842,5.05861226787534,2.51270673111956,7.57131899899491,116.575601074226,90.2052683528826,26.3703327213436,240,1146568,#FFC174,#FFC67E,#FFB455,chris chiozza,5.21381,2.94891,8.16272,1842,5.05861226787534,2.51270673111956,7.57131899899491,116.575601074226,90.2052683528826,26.3703327213436,240,1,1,,1146568,#FFC174,#FFC67E,#FFB455
2017-18,2018,16,Joel Berry II,North Carolina,6.01827,2.09657,8.11484,2102,5.17574211211793,1.52242042065178,6.69816253276971,123.35340660281,90.9137453866738,32.4396612161365,319,1140083,#FFB85F,#FFD6A3,#FFB456,joel berry ii,6.01827,2.09657,8.11484,2102,5.17574211211793,1.52242042065178,6.69816253276971,123.35340660281,90.9137453866738,32.4396612161365,319,1.89654229526212,2.66072457922539,,1140083,#FFB85F,#FFD6A3,#FFB456
2017-18,2018,17,Keenan Evans,Texas Tech,5.49804,2.61275,8.11079,1834,5.68042029343102,1.69988455029609,7.38030484372711,115.333393420551,84.9730948779731,30.360298542578,333,1139808,#FFBE6D,#FFCC8D,#FFB456,keenan evans,5.49804,2.61275,8.11079,1834,5.68042029343102,1.69988455029609,7.38030484372711,115.333393420551,84.9730948779731,30.360298542578,333,1.70587951128246,1,,1139808,#FFBE6D,#FFCC8D,#FFB456
