season,year,rank,name,team,basic_obpr,basic_dbpr,basic_bpr,basic_poss,basic_box_obpr,basic_box_dbpr,basic_box_bpr,basic_adj_team_off_eff,basic_adj_team_def_eff,basic_adj_team_eff_margin,basic_plus_minus,basic_players,basic_color_o,basic_color_d,basic_color_diff,player_name_join,advanced_obpr,advanced_dbpr,advanced_bpr,advanced_poss,advanced_box_obpr,advanced_box_dbpr,advanced_box_bpr,advanced_adj_team_off_eff,advanced_adj_team_def_eff,advanced_adj_team_eff_margin,advanced_plus_minus,advanced_position,advanced_role,advanced_class,advanced_players,advanced_color_o,advanced_color_d,advanced_color_diff
2021-22,2022,1,Chet Holmgren,Gonzaga,5.15686,6.31029,11.46715,1588,4.56444117375705,4.9673122831469,9.53175345690395,123.669480720639,80.150999734289,43.5184809863504,538,1688686,#FFBD6A,#FF9F27,#FF9D23,chet holmgren,5.15686,6.31029,11.46715,1588,4.56444117375705,4.9673122831469,9.53175345690395,123.669480720639,80.150999734289,43.5184809863504,538,5.0,2.26300573663647,,1688686,#FFBD6A,#FF9F27,#FF9D23
2021-22,2022,2,Keegan Murray,Iowa,7.63524,3.02128,10.65652,1950,7.91776998518286,2.6745804357874,10.5923504209703,123.667040225282,91.1206819160411,32.5463583092412,400,1599740,#FF9D23,#FFD197,#FFA432,keegan murray,7.63524,3.02128,10.65652,1950,7.91776998518286,2.6745804357874,10.5923504209703,123.667040225282,91.1206819160411,32.5463583092412,400,4.7736823984208,1.3468750023325,,1599740,#FF9D23,#FFD197,#FFA432
2021-22,2022,3,Zach Edey,Purdue,6.98866,3.35884,10.3475,1183,7.04847939116894,2.69798663354245,9.7464660247114,125.707764493592,90.2237104405984,35.4840540529938,293,1606325,#FFA636,#FFCC8C,#FFA738,zach edey,6.98866,3.35884,10.3475,1183,7.04847939116894,2.69798663354245,9.7464660247114,125.707764493592,90.2237104405984,35.4840540529938,293,5.0,1.01014894138149,,1606325,#FFA636,#FFCC8C,#FFA738
2021-22,2022,4,Oscar Tshiebwe,Kentucky,5.73564,4.37328,10.10892,1854,5.30254880080656,4.43832316015784,9.74087196096439,123.053159856541,87.8732065533153,35.1799533032258,440,1310118,#FFB65A,#FFBD69,#FFA93D,oscar tshiebwe,5.73564,4.37328,10.10892,1854,5.30254880080656,4.43832316015784,9.74087196096439,123.053159856541,87.8732065533153,35.1799533032258,440,5.0,2.51318696572754,,1310118,#FFB65A,#FFBD69,#FFA93D
2021-22,2022,5,Walker Kessler,Auburn,3.1651,6.44028,9.60538,1568,3.51415757190429,5.61366961095287,9.12782718285716,110.988329897514,80.6862190123294,30.3021108851841,273,1600746,#FFD6A3,#FF9D23,#FFAD47,walker kessler,3.1651,6.44028,9.60538,1568,3.51415757190429,5.61366961095287,9.12782718285716,110.988329897514,80.6862190123294,30.3021108851841,273,5.0,2.76769711493698,,1600746,#FFD6A3,#FF9D23,#FFAD47
2021-22,2022,6,Tari Eason,LSU,4.38356,4.61174,8.9953,1432,4.98672625603688,3.5672348419309,8.55396109796778,110.407485179149,79.7686483685342,30.6388368106144,275,1606078,#FFC780,#FFB961,#FFB252,tari eason,4.38356,4.61174,8.9953,1432,4.98672625603688,3.5672348419309,8.55396109796778,110.407485179149,79.7686483685342,30.6388368106144,275,4.40891308486344,1.0,,1606078,#FFC780,#FFB961,#FFB252
2021-22,2022,7,E.J. Liddell,Ohio State,5.58184,2.94497,8.52681,1748,5.27377874770694,3.24135686905506,8.51513561676199,117.060943146711,93.9151727127274,23.1457704339836,156,1310103,#FFB85E,#FFD29A,#FFB65B,ej liddell,5.58184,2.94497,8.52681,1748,5.27377874770694,3.24135686905506,8.51513561676199,117.060943146711,93.9151727127274,23.1457704339836,156,4.63169040566155,1.37507480630197,,1310103,#FFB85E,#FFD29A,#FFB65B
2021-22,2022,8,Hunter Dickinson,Michigan,5.49036,3.01401,8.50437,1768,5.33517574897879,2.44806227376803,7.78323802274681,116.489461989836,90.4482944870547,26.0411675027816,178,1603842,#FFB961,#FFD198,#FFB75C,hunter dickinson,5.49036,3.01401,8.50437,1768,5.33517574897879,2.44806227376803,7.78323802274681,116.489461989836,90.4482944870547,26.0411675027816,178,4.91597105916596,1.33186370126293,,1603842,#FFB961,#FFD198,#FFB75C
2021-22,2022,9,Armando Bacot,North Carolina,4.32278,4.12688,8.44966,2154,4.0087532697958,3.74028661104785,7.74903988084365,116.290251044175,86.7524234843633,29.5378275598119,318,1320725,#FFC882,#FFC072,#FFB75D,armando bacot,4.32278,4.12688,8.44966,2154,4.0087532697958,3.74028661104785,7.74903988084365,116.290251044175,86.7524234843633,29.5378275598119,318,5.0,2.4871191459486,,1320725,#FFC882,#FFC072,#FFB75D
2021-22,2022,10,Mark Williams,Duke,5.20709,3.2422,8.44929,1574,4.97008512056276,3.89759787831084,8.8676829988736,123.434264475293,91.304061929201,32.1302025460917,274,1607852,#FFBC69,#FFCE90,#FFB75D,mark williams,5.20709,3.2422,8.44929,1574,4.97008512056276,3.89759787831084,8.8676829988736,123.434264475293,91.304061929201,32.1302025460917,274,5.0,2.33094478269766,,1607852,#FFBC69,#FFCE90,#FFB75D
2021-22,2022,11,Trevion Williams,Purdue,5.5257,2.87573,8.40143,1232,5.79637431362074,3.59874411440209,9.39511842802283,121.510788062666,94.5967299514176,26.9140581112483,144,979479,#FFB860,#FFD39C,#FFB75E,trevion williams,5.5257,2.87573,8.40143,1232,5.79637431362074,3.59874411440209,9.39511842802283,121.510788062666,94.5967299514176,26.9140581112483,144,4.28873806201424,1.30157335643975,,979479,#FFB860,#FFD39C,#FFB75E
2021-22,2022,12,Kofi Cockburn,Illinois,4.93527,3.17812,8.11339,1468,3.9875624245445,2.36160505524391,6.34916747978841,118.812659641136,88.685523665799,30.127135975337,231,1360064,#FFC071,#FFCF92,#FFBA63,kofi cockburn,4.93527,3.17812,8.11339,1468,3.9875624245445,2.36160505524391,6.34916747978841,118.812659641136,88.685523665799,30.127135975337,231,5.0,1.67785737058234,,1360064,#FFC071,#FFCF92,#FFBA63
