year,player_key,first_name,last_name,full_name,position,position_group,height,weight,stars,rating,transfer_rating,high_school_rating,transfer_rank,high_school_rank,position_rank,state_rank,eligibility_type,eligibility_years,status,institution_status,transfer_date,transfer_commit_date,source_school,source_institution_key,source_school_root_path,destination_school,destination_institution_key,destination_school_root_path,destination_transferred,destination_options_count,player_profile_url,avatar_url,last_update_date,source
2025,46127714,Silas,Demary Jr.,Silas Demary Jr.,CG,Guard,6-5,190,4,0.97,0.97,0.92,13,72.0,3,2,Immediate,,Enrolled,T,2025-03-27T18:37:00Z,2025-04-03T18:04:00Z,Georgia,24100,/college/georgia,UConn,24032.0,/college/connecticut,True,1.0,https://247sports.com/player/silas-demary-jr-46127714/college-302968,https://s3media.247sports.com/Uploads/Assets/26/18/12018026.jpeg,2025-04-03T18:04:24Z,247sports_api_transfers
2025,46118010,Ryan,Conwell,Ryan Conwell,CG,Guard,6-4,215,4,0.97,0.97,0.81,14,388.0,4,1,Immediate,,Enrolled,T,2025-03-28T13:51:00Z,2025-04-02T00:40:00Z,Xavier,24316,/college/xavier,Louisville,24033.0,/college/louisville,True,1.0,https://247sports.com/player/ryan-conwell-46118010/college-323276,https://s3media.247sports.com/Uploads/Assets/83/709/12709083.jpg,2025-04-02T00:41:26Z,247sports_api_transfers
2025,46116819,Dedan,Thomas Jr.,Dedan Thomas Jr.,PG,Guard,6-1,170,4,0.97,0.97,0.95,15,34.0,6,1,Immediate,,Enrolled,T,2025-03-17T20:58:00Z,2025-04-01T01:43:00Z,UNLV,24084,/college/unlv,LSU,24102.0,/college/lsu,True,1.0,https://247sports.com/player/dedan-thomas-jr-46116819/college-303617,https://s3media.247sports.com/Uploads/Assets/687/48/12048687.jpeg,2025-04-01T01:58:25Z,247sports_api_transfers
2025,46059170,Bryce,Hopkins,Bryce Hopkins,PF,Forward,6-7,220,4,0.97,0.97,0.96,16,44.0,3,1,Immediate,,Enrolled,T,2025-03-19T17:44:00Z,2025-03-31T20:52:00Z,Providence,24308,/college/providence,St. John's,24309.0,/college/saint-johns,True,1.0,https://247sports.com/player/bryce-hopkins-46059170/college-288675,https://s3media.247sports.com/Uploads/Assets/852/707/12707852.jpg,2025-03-31T20:52:46Z,247sports_api_transfers
2025,46125439,Keyshawn,Hall,Keyshawn Hall,SF,Forward,6-7,235,4,0.97,0.97,,17,,1,2,Immediate,2.0,Enrolled,T,2025-03-29T02:18:00Z,2025-04-03T01:01:00Z,UCF,24060,/college/central-florida,Auburn,24098.0,/college/auburn,True,1.0,https://247sports.com/player/keyshawn-hall-46125439/college-323029,https://s3media.247sports.com/Uploads/Assets/785/720/12720785.jpg,2025-04-03T01:02:13Z,247sports_api_transfers
2025,46086079,Tucker,DeVries,Tucker DeVries,SF,Forward,6-7,220,4,0.97,0.97,0.91,18,101.0,2,1,Immediate,,Enrolled,T,2025-03-19T20:58:00Z,2025-04-02T19:36:00Z,West Virginia,24038,/college/west-virginia,Indiana,24040.0,/college/indiana,True,1.0,https://247sports.com/player/tucker-devries-46086079/college-323041,https://s3media.247sports.com/Uploads/Assets/942/989/12989942.jpeg,2025-04-02T19:36:41Z,247sports_api_transfers
2025,46093946,Josh,Dix,Josh Dix,SG,Guard,6-6,210,4,0.97,0.97,0.89,19,163.0,2,2,Immediate,,Enrolled,T,2025-03-19T16:50:00Z,,Iowa,24041,/college/iowa,Creighton,24343.0,/college/creighton,True,1.0,https://247sports.com/player/josh-dix-46093946/college-283552,https://s3media.247sports.com/Uploads/Assets/92/730/12730092.jpg,2025-04-04T14:23:24Z,247sports_api_transfers
2025,46097950,Isaac,McKneely,Isaac McKneely,SG,Guard,6-4,170,4,0.97,0.97,0.95,20,52.0,3,1,Immediate,,Enrolled,T,2025-03-24T13:18:00Z,2025-04-03T17:52:00Z,Virginia,24016,/college/virginia,Louisville,24033.0,/college/louisville,True,1.0,https://247sports.com/player/isaac-mckneely-46097950/college-284378,https://s3media.247sports.com/Uploads/Assets/464/345/12345464.png,2025-04-03T17:52:39Z,247sports_api_transfers
2025,46150103,Chad,Baker-Mazara,Chad Baker-Mazara,SF,Forward,6-7,180,4,0.97,0.97,,21,,3,2,Immediate,,Enrolled,T,2025-04-17T15:01:00Z,2025-04-28T14:34:00Z,Auburn,24098,/college/auburn,USC,24257.0,/college/usc,True,1.0,https://247sports.com/player/chad-baker-mazara-46150103/college-315379,https://s3media.247sports.com/Uploads/Assets/283/443/12443283.jpg,2025-04-28T14:34:43Z,247sports_api_transfers
2025,46134208,Joson,Sanon,Joson Sanon,SG,Guard,6-5,188,4,0.96,0.96,0.97,22,24.0,4,2,Immediate,,Enrolled,T,2025-03-25T18:57:00Z,2025-03-26T12:44:00Z,Arizona State,24088,/college/arizona-state,St. John's,24309.0,/college/saint-johns,True,1.0,https://247sports.com/player/joson-sanon-46134208/college-322808,https://s3media.247sports.com/Uploads/Assets/272/719/12719272.jpg,2025-03-26T12:45:52Z,247sports_api_transfers
