year,recruit_key,html_path,skill_rating,skill_athleticism,skill_defender,skill_face_up_high_post_scorer,skill_handle,skill_leadership,skill_low_post_scorer,skill_passing,skill_passing_vision,skill_penetration_ability,skill_physicality_motor,skill_rebounding,skill_shooter,skill_size,skill_versatility,full_name
2010,14673,/Users/anirudhhaharsha/Desktop/sports_analytics_projects/Basketball/College Basketball Project/uiuc_proj/scrapers_web/cache/hs/2010/profiles/14673.html,False,,,,,,,,,,,,,,,Will Sheehey
2010,14674,/Users/anirudhhaharsha/Desktop/sports_analytics_projects/Basketball/College Basketball Project/uiuc_proj/scrapers_web/cache/hs/2010/profiles/14674.html,False,,,,,,,,,,,,,,,Victor Oladipo
2010,14681,/Users/anirudhhaharsha/Desktop/sports_analytics_projects/Basketball/College Basketball Project/uiuc_proj/scrapers_web/cache/hs/2010/profiles/14681.html,False,,,,,,,,,,,,,,,Raphael Smith
2010,14682,/Users/anirudhhaharsha/Desktop/sports_analytics_projects/Basketball/College Basketball Project/uiuc_proj/scrapers_web/cache/hs/2010/profiles/14682.html,False,,,,,,,,,,,,,,,Taylor Wayer
2010,14683,/Users/anirudhhaharsha/Desktop/sports_analytics_projects/Basketball/College Basketball Project/uiuc_proj/scrapers_web/cache/hs/2010/profiles/14683.html,False,,,,,,,,,,,,,,,Jeff Howard
2010,15750,/Users/anirudhhaharsha/Desktop/sports_analytics_projects/Basketball/College Basketball Project/uiuc_proj/scrapers_web/cache/hs/2010/profiles/15750.html,False,,,,,,,,,,,,,,,Mardracus Wade
2010,15906,/Users/anirudhhaharsha/Desktop/sports_analytics_projects/Basketball/College Basketball Project/uiuc_proj/scrapers_web/cache/hs/2010/profiles/15906.html,False,,,,,,,,,,,,,,,Tyrone Nared
2010,15907,/Users/anirudhhaharsha/Desktop/sports_analytics_projects/Basketball/College Basketball Project/uiuc_proj/scrapers_web/cache/hs/2010/profiles/15907.html,False,,,,,,,,,,,,,,,Jonathan Loyd
2010,16344,/Users/anirudhhaharsha/Desktop/sports_analytics_projects/Basketball/College Basketball Project/uiuc_proj/scrapers_web/cache/hs/2010/profiles/16344.html,False,,,,,,,,,,,,,,,Rickey Scott
2010,16782,/Users/anirudhhaharsha/Desktop/sports_analytics_projects/Basketball/College Basketball Project/uiuc_proj/scrapers_web/cache/hs/2010/profiles/16782.html,False,,,,,,,,,,,,,,,Andre Almeida
