barttorvik_year,row_number,player_name,raw_team_1,raw_team_2,raw_flag,page_title,source_url,scraped_at_utc
2020,1,Eli Abaev,Austin Peay,Florida Gulf Coast,Yes,2020 Transfer Portal Finder,https://barttorvik.com/playerstat.php?link=y&minGP=1&ocvalue=d1&minmin=0&erk=500&year=2020&xvalue=trans,2026-05-31T04:55:54.797554+00:00
2020,2,Riley Abercrombie,Boise St.,Rice,,2020 Transfer Portal Finder,https://barttorvik.com/playerstat.php?link=y&minGP=1&ocvalue=d1&minmin=0&erk=500&year=2020&xvalue=trans,2026-05-31T04:55:54.797554+00:00
2020,3,Andre Adams,Southern Utah,Boston College,Yes,2020 Transfer Portal Finder,https://barttorvik.com/playerstat.php?link=y&minGP=1&ocvalue=d1&minmin=0&erk=500&year=2020&xvalue=trans,2026-05-31T04:55:54.797554+00:00
2020,4,Darian Adams,Troy,Jacksonville St.,Yes,2020 Transfer Portal Finder,https://barttorvik.com/playerstat.php?link=y&minGP=1&ocvalue=d1&minmin=0&erk=500&year=2020&xvalue=trans,2026-05-31T04:55:54.797554+00:00
2020,5,Marlon Adams,Maryland Eastern Shore,Le Moyne,Yes,2020 Transfer Portal Finder,https://barttorvik.com/playerstat.php?link=y&minGP=1&ocvalue=d1&minmin=0&erk=500&year=2020&xvalue=trans,2026-05-31T04:55:54.797554+00:00
2020,6,Silas Adheke,Northern Kentucky,East Tennessee St.,Yes,2020 Transfer Portal Finder,https://barttorvik.com/playerstat.php?link=y&minGP=1&ocvalue=d1&minmin=0&erk=500&year=2020&xvalue=trans,2026-05-31T04:55:54.797554+00:00
2020,7,Aguir Agau,Fresno St.,,,2020 Transfer Portal Finder,https://barttorvik.com/playerstat.php?link=y&minGP=1&ocvalue=d1&minmin=0&erk=500&year=2020&xvalue=trans,2026-05-31T04:55:54.797554+00:00
2020,8,Christopher Agbo,Indiana St.,Florida National University,,2020 Transfer Portal Finder,https://barttorvik.com/playerstat.php?link=y&minGP=1&ocvalue=d1&minmin=0&erk=500&year=2020&xvalue=trans,2026-05-31T04:55:54.797554+00:00
2020,9,Christian Agnew,North Alabama,UTEP,,2020 Transfer Portal Finder,https://barttorvik.com/playerstat.php?link=y&minGP=1&ocvalue=d1&minmin=0&erk=500&year=2020&xvalue=trans,2026-05-31T04:55:54.797554+00:00
2020,10,Pietro Agostini,Kennesaw St.,,,2020 Transfer Portal Finder,https://barttorvik.com/playerstat.php?link=y&minGP=1&ocvalue=d1&minmin=0&erk=500&year=2020&xvalue=trans,2026-05-31T04:55:54.797554+00:00
