barttorvik_year,row_number,player_name,raw_team_1,raw_team_2,raw_flag,page_title,source_url,scraped_at_utc
2025,1,"Jeremiah ""Bear"" Cherry",UNLV,Sacramento St.,1,2025 Transfer Portal Finder,https://barttorvik.com/playerstat.php?link=y&minGP=1&ocvalue=d1&minmin=0&erk=500&year=2025&xvalue=trans,2026-05-31T04:55:54.797554+00:00
2025,2,"Dallan ""Deebo"" Coleman",UCF,,1,2025 Transfer Portal Finder,https://barttorvik.com/playerstat.php?link=y&minGP=1&ocvalue=d1&minmin=0&erk=500&year=2025&xvalue=trans,2026-05-31T04:55:54.797554+00:00
2025,3,"JaQualon ""JQ"" Roberts",Vanderbilt,Davidson,1,2025 Transfer Portal Finder,https://barttorvik.com/playerstat.php?link=y&minGP=1&ocvalue=d1&minmin=0&erk=500&year=2025&xvalue=trans,2026-05-31T04:55:54.797554+00:00
2025,4,Ubong Abasi Etim,Central Arkansas,Southeastern Louisiana,1,2025 Transfer Portal Finder,https://barttorvik.com/playerstat.php?link=y&minGP=1&ocvalue=d1&minmin=0&erk=500&year=2025&xvalue=trans,2026-05-31T04:55:54.797554+00:00
2025,5,Churchill Abass,Wake Forest,New Orleans,1,2025 Transfer Portal Finder,https://barttorvik.com/playerstat.php?link=y&minGP=1&ocvalue=d1&minmin=0&erk=500&year=2025&xvalue=trans,2026-05-31T04:55:54.797554+00:00
2025,6,Malek Abdelgowad,Massachusetts,Southern,1,2025 Transfer Portal Finder,https://barttorvik.com/playerstat.php?link=y&minGP=1&ocvalue=d1&minmin=0&erk=500&year=2025&xvalue=trans,2026-05-31T04:55:54.797554+00:00
2025,7,Hasan Abdul Hakim,UT Rio Grande Valley,Memphis,1,2025 Transfer Portal Finder,https://barttorvik.com/playerstat.php?link=y&minGP=1&ocvalue=d1&minmin=0&erk=500&year=2025&xvalue=trans,2026-05-31T04:55:54.797554+00:00
2025,8,Jabri Abdur-Rahim,Providence,,1,2025 Transfer Portal Finder,https://barttorvik.com/playerstat.php?link=y&minGP=1&ocvalue=d1&minmin=0&erk=500&year=2025&xvalue=trans,2026-05-31T04:55:54.797554+00:00
2025,9,Denzel Aberdeen,Florida,Kentucky,1,2025 Transfer Portal Finder,https://barttorvik.com/playerstat.php?link=y&minGP=1&ocvalue=d1&minmin=0&erk=500&year=2025&xvalue=trans,2026-05-31T04:55:54.797554+00:00
2025,10,Isaac Abidde,Cleveland St.,Albany,1,2025 Transfer Portal Finder,https://barttorvik.com/playerstat.php?link=y&minGP=1&ocvalue=d1&minmin=0&erk=500&year=2025&xvalue=trans,2026-05-31T04:55:54.797554+00:00
2025,11,Isaiah Abraham,Connecticut,Georgetown,1,2025 Transfer Portal Finder,https://barttorvik.com/playerstat.php?link=y&minGP=1&ocvalue=d1&minmin=0&erk=500&year=2025&xvalue=trans,2026-05-31T04:55:54.797554+00:00
2025,12,Amaree Abram,Louisiana Tech,Tennessee,1,2025 Transfer Portal Finder,https://barttorvik.com/playerstat.php?link=y&minGP=1&ocvalue=d1&minmin=0&erk=500&year=2025&xvalue=trans,2026-05-31T04:55:54.797554+00:00
2025,13,Achor Achor,Kansas St.,Mississippi St.,1,2025 Transfer Portal Finder,https://barttorvik.com/playerstat.php?link=y&minGP=1&ocvalue=d1&minmin=0&erk=500&year=2025&xvalue=trans,2026-05-31T04:55:54.797554+00:00
2025,14,Peyton Ackerman,Northern Illinois,,1,2025 Transfer Portal Finder,https://barttorvik.com/playerstat.php?link=y&minGP=1&ocvalue=d1&minmin=0&erk=500&year=2025&xvalue=trans,2026-05-31T04:55:54.797554+00:00
2025,15,Marcus Adams Jr.,Cal St. Northridge,Arizona St.,1,2025 Transfer Portal Finder,https://barttorvik.com/playerstat.php?link=y&minGP=1&ocvalue=d1&minmin=0&erk=500&year=2025&xvalue=trans,2026-05-31T04:55:54.797554+00:00
2025,16,Isaiah Addo-Ankrah,Denver,,1,2025 Transfer Portal Finder,https://barttorvik.com/playerstat.php?link=y&minGP=1&ocvalue=d1&minmin=0&erk=500&year=2025&xvalue=trans,2026-05-31T04:55:54.797554+00:00
2025,17,Dola Adebayo,Mount St. Mary's,George Mason,1,2025 Transfer Portal Finder,https://barttorvik.com/playerstat.php?link=y&minGP=1&ocvalue=d1&minmin=0&erk=500&year=2025&xvalue=trans,2026-05-31T04:55:54.797554+00:00
2025,18,Omar Adegbola,Baylor,Northwestern St.,1,2025 Transfer Portal Finder,https://barttorvik.com/playerstat.php?link=y&minGP=1&ocvalue=d1&minmin=0&erk=500&year=2025&xvalue=trans,2026-05-31T04:55:54.797554+00:00
2025,19,Quincy Ademokoya,South Florida,,1,2025 Transfer Portal Finder,https://barttorvik.com/playerstat.php?link=y&minGP=1&ocvalue=d1&minmin=0&erk=500&year=2025&xvalue=trans,2026-05-31T04:55:54.797554+00:00
2025,20,Deraje Agbaosi,New Mexico,,1,2025 Transfer Portal Finder,https://barttorvik.com/playerstat.php?link=y&minGP=1&ocvalue=d1&minmin=0&erk=500&year=2025&xvalue=trans,2026-05-31T04:55:54.797554+00:00
2025,21,Obi Agbim,Wyoming,Baylor,1,2025 Transfer Portal Finder,https://barttorvik.com/playerstat.php?link=y&minGP=1&ocvalue=d1&minmin=0&erk=500&year=2025&xvalue=trans,2026-05-31T04:55:54.797554+00:00
2025,22,Rashaun Agee,USC,Texas A&M,1,2025 Transfer Portal Finder,https://barttorvik.com/playerstat.php?link=y&minGP=1&ocvalue=d1&minmin=0&erk=500&year=2025&xvalue=trans,2026-05-31T04:55:54.797554+00:00
2025,23,Favour Aire,Bryant,Coppin St.,1,2025 Transfer Portal Finder,https://barttorvik.com/playerstat.php?link=y&minGP=1&ocvalue=d1&minmin=0&erk=500&year=2025&xvalue=trans,2026-05-31T04:55:54.797554+00:00
2025,24,Michael Ajayi,Gonzaga,Butler,1,2025 Transfer Portal Finder,https://barttorvik.com/playerstat.php?link=y&minGP=1&ocvalue=d1&minmin=0&erk=500&year=2025&xvalue=trans,2026-05-31T04:55:54.797554+00:00
2025,25,Ola Ajiboye,Tennessee Tech,Southern Indiana,1,2025 Transfer Portal Finder,https://barttorvik.com/playerstat.php?link=y&minGP=1&ocvalue=d1&minmin=0&erk=500&year=2025&xvalue=trans,2026-05-31T04:55:54.797554+00:00
2025,26,Kosy Akametu,Santa Clara,Iona,1,2025 Transfer Portal Finder,https://barttorvik.com/playerstat.php?link=y&minGP=1&ocvalue=d1&minmin=0&erk=500&year=2025&xvalue=trans,2026-05-31T04:55:54.797554+00:00
2025,27,Sebastian Akins,Denver,Wake Forest,1,2025 Transfer Portal Finder,https://barttorvik.com/playerstat.php?link=y&minGP=1&ocvalue=d1&minmin=0&erk=500&year=2025&xvalue=trans,2026-05-31T04:55:54.797554+00:00
2025,28,Daniel Akitoby,Morgan St.,UTSA,1,2025 Transfer Portal Finder,https://barttorvik.com/playerstat.php?link=y&minGP=1&ocvalue=d1&minmin=0&erk=500&year=2025&xvalue=trans,2026-05-31T04:55:54.797554+00:00
2025,29,Sam Akot,Buffalo,,1,2025 Transfer Portal Finder,https://barttorvik.com/playerstat.php?link=y&minGP=1&ocvalue=d1&minmin=0&erk=500&year=2025&xvalue=trans,2026-05-31T04:55:54.797554+00:00
