number,value,params_bagging_temperature,params_depth,params_iterations,params_l2_leaf_reg,params_learning_rate,state,user_attrs_best_iteration,user_attrs_class_order
28,1.353872578328549,0.36617288483935084,4,1202,5.754764936182256,0.11538211422177841,COMPLETE,160,"['C', 'Combo G', 'PF/C', 'Pure PG', 'Scoring PG', 'Stretch 4', 'Wing F', 'Wing G']"
29,1.3562247545513748,0.1569747121923198,7,1512,11.919477135982973,0.047593971293537,COMPLETE,347,"['C', 'Combo G', 'PF/C', 'Pure PG', 'Scoring PG', 'Stretch 4', 'Wing F', 'Wing G']"
30,1.3535566162473316,0.4284104628550669,4,1045,1.6288637657835936,0.03362804450483727,COMPLETE,511,"['C', 'Combo G', 'PF/C', 'Pure PG', 'Scoring PG', 'Stretch 4', 'Wing F', 'Wing G']"
31,1.356257678639192,0.40662176729225763,4,961,1.618576851526433,0.03411513328307863,COMPLETE,559,"['C', 'Combo G', 'PF/C', 'Pure PG', 'Scoring PG', 'Stretch 4', 'Wing F', 'Wing G']"
32,1.3524488941409072,0.4478654710368536,4,750,2.748551071812899,0.06484170190852186,COMPLETE,290,"['C', 'Combo G', 'PF/C', 'Pure PG', 'Scoring PG', 'Stretch 4', 'Wing F', 'Wing G']"
33,1.3542733977756374,0.3065973627086489,5,751,3.272842081777888,0.06312512774678412,COMPLETE,227,"['C', 'Combo G', 'PF/C', 'Pure PG', 'Scoring PG', 'Stretch 4', 'Wing F', 'Wing G']"
34,1.3520935379271908,0.5733031889650985,4,1169,2.5614013267343982,0.09179540975944173,COMPLETE,258,"['C', 'Combo G', 'PF/C', 'Pure PG', 'Scoring PG', 'Stretch 4', 'Wing F', 'Wing G']"
35,1.3560672123167403,0.6037964257351341,6,808,2.6004794520362977,0.0883807829052815,COMPLETE,136,"['C', 'Combo G', 'PF/C', 'Pure PG', 'Scoring PG', 'Stretch 4', 'Wing F', 'Wing G']"
36,1.3578793764673192,0.5370744285326658,4,824,2.094263600572675,0.09495555606793231,COMPLETE,126,"['C', 'Combo G', 'PF/C', 'Pure PG', 'Scoring PG', 'Stretch 4', 'Wing F', 'Wing G']"
37,1.359306922686361,0.4537499082969224,5,1154,2.5530349990864565,0.12889595049131336,COMPLETE,110,"['C', 'Combo G', 'PF/C', 'Pure PG', 'Scoring PG', 'Stretch 4', 'Wing F', 'Wing G']"
