split,rows,log_loss,top1_accuracy,top3_accuracy
train,6822,1.0104852361784569,0.603048959249487,0.9347698622104954
valid,1117,1.0566197755858204,0.5819158460161146,0.9158460161145927
test,1051,1.3604667574646236,0.4548049476688868,0.8667935299714558
