number,value,params_auto_class_weights,params_bagging_temperature,params_depth,params_iterations,params_l2_leaf_reg,params_learning_rate,state,user_attrs_best_iteration,user_attrs_class_order
27,1.3476955427033954,None,0.9276142504166965,4,652,1.9381942671915953,0.040759015383379324,COMPLETE,650,"['C', 'Combo G', 'PF/C', 'Pure PG', 'Scoring PG', 'Stretch 4', 'Wing F', 'Wing G']"
28,1.3520656114951255,None,0.9063862561867541,4,629,2.5140697354751462,0.025837148602221822,COMPLETE,619,"['C', 'Combo G', 'PF/C', 'Pure PG', 'Scoring PG', 'Stretch 4', 'Wing F', 'Wing G']"
29,1.3713960209146923,SqrtBalanced,0.9388293731643557,4,1762,1.4461550834532295,0.04360136028543927,COMPLETE,576,"['C', 'Combo G', 'PF/C', 'Pure PG', 'Scoring PG', 'Stretch 4', 'Wing F', 'Wing G']"
30,1.3532499899315695,None,0.7788092742410918,4,649,3.4023809810422274,0.054807781835943634,COMPLETE,552,"['C', 'Combo G', 'PF/C', 'Pure PG', 'Scoring PG', 'Stretch 4', 'Wing F', 'Wing G']"
31,1.3485608852274107,None,0.6753381541150569,5,876,2.033417421307669,0.036565337534267196,COMPLETE,539,"['C', 'Combo G', 'PF/C', 'Pure PG', 'Scoring PG', 'Stretch 4', 'Wing F', 'Wing G']"
32,1.35286458904392,None,0.8503801135781615,5,796,2.04884320158307,0.01926574337070008,COMPLETE,795,"['C', 'Combo G', 'PF/C', 'Pure PG', 'Scoring PG', 'Stretch 4', 'Wing F', 'Wing G']"
33,1.348821798208179,None,0.9187925924829691,4,942,1.477081254476581,0.026305242119852038,COMPLETE,824,"['C', 'Combo G', 'PF/C', 'Pure PG', 'Scoring PG', 'Stretch 4', 'Wing F', 'Wing G']"
34,1.3497392280582536,None,0.17937692464597238,6,1201,1.2298811734146804,0.015902880661585597,COMPLETE,1162,"['C', 'Combo G', 'PF/C', 'Pure PG', 'Scoring PG', 'Stretch 4', 'Wing F', 'Wing G']"
35,1.4407460824404381,Balanced,0.8358856986751695,5,604,2.4794616617664365,0.04225260195648308,COMPLETE,447,"['C', 'Combo G', 'PF/C', 'Pure PG', 'Scoring PG', 'Stretch 4', 'Wing F', 'Wing G']"
36,1.3529314202222686,None,0.34320415903792373,4,1365,4.59939730957522,0.0740434652235105,COMPLETE,596,"['C', 'Combo G', 'PF/C', 'Pure PG', 'Scoring PG', 'Stretch 4', 'Wing F', 'Wing G']"
37,1.3479134229625183,None,0.7427924384932066,5,750,1.2676394833802938,0.03388903527345884,COMPLETE,549,"['C', 'Combo G', 'PF/C', 'Pure PG', 'Scoring PG', 'Stretch 4', 'Wing F', 'Wing G']"
38,1.4516214966152523,Balanced,0.00771823565872537,6,747,1.2483790426556118,0.10925191385234553,COMPLETE,129,"['C', 'Combo G', 'PF/C', 'Pure PG', 'Scoring PG', 'Stretch 4', 'Wing F', 'Wing G']"
39,1.4300090584180498,SqrtBalanced,0.7532106868257485,7,511,14.97543213760476,0.022231261416270333,COMPLETE,510,"['C', 'Combo G', 'PF/C', 'Pure PG', 'Scoring PG', 'Stretch 4', 'Wing F', 'Wing G']"
40,1.3545195789350337,None,0.942434017365491,7,611,1.0030442584783255,0.06066508139807384,COMPLETE,229,"['C', 'Combo G', 'PF/C', 'Pure PG', 'Scoring PG', 'Stretch 4', 'Wing F', 'Wing G']"
41,1.347572294140611,None,0.6427526047348139,5,933,1.8200489815143883,0.03455743125199393,COMPLETE,628,"['C', 'Combo G', 'PF/C', 'Pure PG', 'Scoring PG', 'Stretch 4', 'Wing F', 'Wing G']"
42,1.3502127684064742,None,0.48510297214908876,5,1052,1.6733484477182368,0.030219783104294056,COMPLETE,594,"['C', 'Combo G', 'PF/C', 'Pure PG', 'Scoring PG', 'Stretch 4', 'Wing F', 'Wing G']"
43,1.3616918652017063,None,0.8681313683841235,8,1124,1.3884807032968307,0.046046010698611035,COMPLETE,294,"['C', 'Combo G', 'PF/C', 'Pure PG', 'Scoring PG', 'Stretch 4', 'Wing F', 'Wing G']"
44,1.3474031645623332,None,0.8220212818799844,4,947,1.2360505163294966,0.03502610407679179,COMPLETE,924,"['C', 'Combo G', 'PF/C', 'Pure PG', 'Scoring PG', 'Stretch 4', 'Wing F', 'Wing G']"
45,1.4455524253354206,Balanced,0.7999548459463603,4,961,1.175433328032573,0.03380073749777071,COMPLETE,520,"['C', 'Combo G', 'PF/C', 'Pure PG', 'Scoring PG', 'Stretch 4', 'Wing F', 'Wing G']"
46,1.3480612523931648,None,0.7262972661501601,4,1297,1.3408127554725764,0.017842240919216972,COMPLETE,1051,"['C', 'Combo G', 'PF/C', 'Pure PG', 'Scoring PG', 'Stretch 4', 'Wing F', 'Wing G']"
47,1.3509396335638872,None,0.6719918352682477,4,2477,2.242714137477668,0.02749290829721734,COMPLETE,872,"['C', 'Combo G', 'PF/C', 'Pure PG', 'Scoring PG', 'Stretch 4', 'Wing F', 'Wing G']"
48,1.3502627057681011,None,0.9662062200917239,4,1130,1.8620667358952658,0.05441727694649288,COMPLETE,430,"['C', 'Combo G', 'PF/C', 'Pure PG', 'Scoring PG', 'Stretch 4', 'Wing F', 'Wing G']"
49,1.3757038947614606,SqrtBalanced,0.8888302855324263,5,808,12.722812533704658,0.06734166581116852,COMPLETE,672,"['C', 'Combo G', 'PF/C', 'Pure PG', 'Scoring PG', 'Stretch 4', 'Wing F', 'Wing G']"
