split,rows,log_loss,top1_accuracy,top3_accuracy,macro_f1,weighted_f1,balanced_accuracy
train,6822,1.191131875447326,0.5299032541776605,0.8965112870126063,0.4122646951975887,0.4936559537462799,0.4216192870656249
valid,1117,1.157130448007545,0.576544315129812,0.8836168307967771,0.46288961763302217,0.5402827685097193,0.4694843490783329
test,1051,1.3190126068003356,0.4643196955280685,0.8782112274024738,0.32725227256685313,0.4104336936233176,0.35717006479660374
