,C,Combo G,PF/C,Pure PG,Scoring PG,Stretch 4,Wing F,Wing G
C,1003,0,48,0,0,0,32,2
Combo G,0,572,2,0,168,0,3,352
PF/C,343,34,279,0,13,2,125,179
Pure PG,4,93,0,9,101,1,1,32
Scoring PG,0,262,7,0,308,0,5,135
Stretch 4,125,6,52,0,1,36,92,111
Wing F,108,2,95,0,1,0,250,232
Wing G,4,270,44,0,44,1,75,1158
