pred_class,row_count,pct
Wing G,2201,0.3226326590442685
C,1587,0.2326297273526825
Combo G,1239,0.18161829375549693
Scoring PG,636,0.0932277924362357
Wing F,583,0.08545880973321607
PF/C,527,0.07725007329228965
Stretch 4,40,0.005863383172090296
Pure PG,9,0.0013192612137203166
