feature,importance
hs_position,39.99559876571251
hs_height_in,38.077107758872565
hs_weight,6.915874750677935
hs_rating,4.104712761322579
hs_position_rank,1.81696565626958
hs_national_rank,1.7544352974016508
hs_stars,0.2667009989387286
scout_emb_260,0.10412516608197113
scout_emb_354,0.08009581335858403
scout_emb_164,0.0708011400853673
scout_emb_225,0.06907100000974158
scout_emb_115,0.06776725973365541
scout_emb_181,0.058331162086750495
scout_emb_7,0.055784316770595276
scout_emb_117,0.050171521357670744
scout_emb_108,0.04909504108876867
scout_emb_167,0.048284888056165806
scout_emb_233,0.04721153833062104
scout_emb_364,0.046591338016791245
scout_emb_244,0.045864348754688686
scout_emb_370,0.04545655212979609
scout_emb_38,0.04476858987081112
scout_emb_159,0.04470126750933741
scout_emb_265,0.04445357242885994
scout_emb_102,0.04401743442422296
scout_emb_292,0.04379067543009012
scout_emb_169,0.04373330090462215
scout_emb_41,0.043528105634418404
scout_emb_363,0.04282686815232812
scout_emb_75,0.042283158286988226
scout_emb_93,0.04222901974463741
scout_emb_232,0.04219154809318141
scout_emb_5,0.04218131949266867
scout_emb_203,0.04205186019596857
scout_emb_345,0.04181745106662912
scout_emb_60,0.039491018576106644
scout_emb_295,0.03926640055504601
scout_emb_96,0.03923839128713099
scout_emb_6,0.03898399909104709
scout_emb_192,0.038847185271762535
scout_emb_35,0.03809724317235198
scout_emb_85,0.03805663504998711
scout_emb_332,0.037582387546722974
scout_emb_308,0.037327571002349694
scout_emb_323,0.03648721986365776
scout_emb_344,0.03626181154974387
scout_emb_321,0.036083593590413555
scout_emb_208,0.03606867465052667
scout_emb_340,0.035651097216668065
scout_emb_37,0.035483111566793665
scout_emb_43,0.035359868413771596
scout_emb_377,0.03514869905538958
scout_emb_348,0.034881249966749094
scout_emb_91,0.03450882559135119
scout_emb_132,0.03381125721199288
scout_emb_212,0.03362228789328988
scout_emb_324,0.03343788619184034
scout_emb_50,0.0333551039124917
scout_emb_299,0.03314580056533782
scout_emb_259,0.03291088027934731
scout_emb_352,0.03253272556879086
scout_emb_199,0.032492674168182266
scout_emb_49,0.03216035940355646
scout_emb_137,0.03213566398421113
scout_emb_189,0.03208658100044203
scout_emb_252,0.03201712089440631
scout_emb_266,0.03197240154716644
scout_emb_303,0.03192085707805501
scout_emb_262,0.03169879974877615
scout_emb_281,0.03156562444481073
scout_emb_304,0.031562831561390156
scout_emb_161,0.03147720407756988
scout_emb_28,0.03111295474355663
scout_emb_73,0.03108632038215584
scout_emb_76,0.030940615723469178
scout_emb_87,0.030772660589102076
scout_emb_194,0.03072911632497159
scout_emb_256,0.030727632891069386
scout_emb_156,0.030665445150470004
scout_emb_210,0.030377541117261833
scout_emb_121,0.03035142900295978
scout_emb_305,0.030313955929914066
scout_emb_298,0.030196950822633392
scout_emb_154,0.02995511782723693
scout_emb_224,0.029819477960669676
scout_emb_10,0.02956356043206203
scout_emb_86,0.029556284086047047
scout_emb_221,0.029028088764872763
scout_emb_140,0.0289957811762252
scout_emb_138,0.028830688107785288
scout_emb_235,0.028740203863960742
scout_emb_216,0.028697089340401497
scout_emb_369,0.02846629700718748
scout_emb_163,0.028451502867476594
scout_emb_230,0.028284647362421
scout_emb_261,0.02817036017174662
scout_emb_217,0.027809562227115
scout_emb_116,0.027761287360322146
scout_emb_330,0.027601370137594998
scout_emb_180,0.02743232162876321
scout_emb_200,0.027341099804626047
scout_emb_54,0.02728688357419706
scout_emb_14,0.02720641469397196
scout_emb_186,0.02714418808301223
scout_emb_133,0.027118615527986587
scout_emb_358,0.027109499215712648
scout_emb_128,0.02629231614556314
scout_emb_241,0.026163164942880603
scout_emb_79,0.02611736803025127
scout_emb_33,0.02602093331271121
scout_emb_326,0.025958479448286356
scout_emb_329,0.02584177118804008
scout_emb_47,0.025751715255035022
scout_emb_336,0.025546863429517442
scout_emb_44,0.025242914245566708
scout_emb_314,0.02500408539174876
scout_emb_376,0.024724249597268076
scout_emb_195,0.024720851763556654
scout_emb_247,0.024621150435824052
scout_emb_23,0.024455225228828183
scout_emb_196,0.024170511388023872
scout_emb_55,0.02382203452108352
scout_emb_100,0.023715158446097374
scout_emb_226,0.02371329873419024
scout_emb_302,0.02352779268335142
scout_emb_257,0.023288378726895553
scout_emb_109,0.023044153691220252
