,C,Combo G,PF/C,Pure PG,Scoring PG,Stretch 4,Wing F,Wing G
C,1009,0,46,0,0,0,29,1
Combo G,0,634,2,0,147,1,4,309
PF/C,307,37,338,0,13,5,123,152
Pure PG,4,85,0,18,100,0,3,31
Scoring PG,0,219,4,0,354,0,4,136
Stretch 4,119,7,54,0,1,53,94,95
Wing F,100,0,79,0,1,2,316,190
Wing G,5,224,40,0,50,1,75,1201
